id,chr,pos,cm
514,1,36661213,62.443301
515,1,36677585,62.547691
516,1,36855957,62.581336
517,1,36858917,62.715984
518,1,36927846,62.732283
519,1,37019837,62.896967
520,1,37022310,63.022784
521,1,37040374,63.062743
522,1,37049344,63.15945
523,1,37077776,63.195427
524,1,37084040,63.345682
525,1,37261085,63.453747
526,1,37275369,63.529781
527,1,37317442,63.555017
528,1,37327304,63.86605
529,1,37399974,63.970236
530,1,37416269,64.061965
531,1,37428012,64.308134
532,1,37538004,64.413385
533,1,37548473,64.493199
534,1,37551870,64.585889
535,1,37661910,64.736251
536,1,37782874,64.802795
537,1,37952976,65.049469
538,1,38092723,65.065996
539,1,38143790,65.170957
540,1,38147166,65.232225
541,1,38197401,65.247155
542,1,38199542,65.349943
543,1,38456106,65.390879
544,1,38466697,65.452565
545,1,38469500,65.535771
546,1,38557098,65.601651
547,1,38560968,65.774682
548,1,38602195,65.862109
549,1,38606443,65.987411
550,1,38679381,66.032793
551,1,38730541,66.150017
552,1,38732247,66.268641
553,1,38733788,66.305815
554,1,38871646,66.413003
555,1,38876635,66.475397
556,1,38911588,66.498657
557,1,38915251,66.640454
558,1,38943545,66.728216
559,1,38952168,66.872959
560,1,39039373,66.962775
561,1,39053684,67.18768
562,1,39145901,67.300088
563,1,39147240,67.359537
564,1,39205993,67.385516
565,1,39214152,67.452512
566,1,39266694,67.493283
567,1,39291144,67.65775
568,1,39385086,67.684416
569,1,39388838,67.763362
570,1,39548843,67.904659
571,1,39551621,68.049655
572,1,40089945,68.122995
573,1,40161013,68.260132
574,1,40168865,68.37493
575,1,40197248,68.391135
576,1,40206510,68.522033
577,1,40255573,68.533667
578,1,40291192,68.628485
579,1,40439598,68.694593
580,1,40451029,68.915123
581,1,40763095,69.009885
582,1,40771973,69.167045
583,1,40808664,69.177657
584,1,40827598,69.266231
585,1,40922377,69.318592
586,1,40938751,69.433771
587,1,41248488,69.538673
588,1,41318440,69.787954
589,1,41323882,69.931565
590,1,41416511,70.00855
591,1,41421510,70.117184
592,1,41821570,70.235989
593,1,41854557,70.342936
594,1,41973908,70.498978
595,1,41988634,70.628978
596,1,42270666,70.776732
597,1,42272924,70.842301
598,1,42801370,71.010676
599,1,42884191,71.129784
600,1,43300921,71.194625
601,1,43365094,71.26441
602,1,43367726,71.383991
603,1,43458388,71.473758
604,1,43462020,71.548467
605,1,43529875,71.747165
606,1,43757955,71.913129
607,1,43760236,71.996962
608,1,44486239,72.212019
609,1,44493795,72.286349
610,1,44589058,72.411716
611,1,44855878,72.442797
612,1,44898998,72.682822
613,1,44963463,72.745917
614,1,44971778,72.842194
615,1,45081766,73.054262
616,1,45083937,73.09205
617,1,45161845,73.134403
618,1,45175925,73.199566
619,1,46609106,73.372742
620,1,46897679,73.46743
621,1,46901546,73.563834
622,1,47096647,73.744947
623,1,47210510,73.769628
624,1,47212009,73.839172
625,1,47250219,73.933468
626,1,47258244,74.013102
627,1,47641041,74.10856
628,1,47655816,74.309116
629,1,48001549,74.479639
630,1,48004776,74.578766
631,1,48095100,74.758954
632,1,48102121,74.922134
633,1,48212615,75.046407
634,1,48215337,75.13421
635,1,48249651,75.22338
636,1,48481656,75.2992
637,1,48484051,75.394176
638,1,48520617,75.423914
639,1,48556937,75.571713
640,1,48977584,75.660558
641,1,48978744,75.71905
642,1,49067379,75.831632
643,1,49071418,75.921986
644,1,49085703,75.993748
645,1,49151886,76.021238
646,1,49219560,76.299721
647,1,50591851,76.391455
648,1,50828470,76.590992
649,1,52020026,76.751962
650,1,52064720,76.816238
651,1,53114410,76.977837
652,1,53117544,77.08239
653,1,53125600,77.143118
654,1,53530023,77.237401
655,1,53632424,77.393937
656,1,53636177,77.524202
657,1,53776386,77.669213
658,1,53784098,77.832024
659,1,53835594,77.860836
660,1,53837269,77.914322
661,1,53971807,78.015804
662,1,53979087,78.132203
663,1,54016511,78.178381
664,1,54018483,78.260931
665,1,54036317,78.32865
666,1,54222571,78.445604
667,1,54227790,78.543321
668,1,54368424,78.601598
669,1,54372124,78.682319
670,1,54583318,78.76189
671,1,54663157,78.885427
672,1,54666981,78.956038
673,1,54743111,79.035881
674,1,54745528,79.164634
675,1,54769756,79.278276
676,1,54772259,79.365091
677,1,54955147,79.579119
678,1,54977034,79.706669
679,1,55012825,79.782877
680,1,55015485,79.8576
681,1,55144100,80.116474
682,1,55149254,80.226534
683,1,55281847,80.50396
684,1,55377852,80.54523
685,1,55387637,80.632542
686,1,55441040,80.707318
687,1,55443605,80.79126
688,1,55479967,80.884634
689,1,55481832,80.988511
690,1,55516004,81.134433
691,1,55520864,81.219688
692,1,55723635,81.298466
693,1,55725288,81.360757
694,1,56095325,81.689225
695,1,56412081,81.878345
696,1,56416738,81.968801
697,1,56769856,82.080939
698,1,56800685,82.143576
699,1,56802112,82.268826
700,1,56895392,82.37539
701,1,56900270,82.501947
702,1,57020516,82.631711
703,1,57022282,82.744918
704,1,57177789,82.80985
705,1,57180867,82.959532
706,1,57194793,82.9697
707,1,57202008,83.059502
708,1,57273172,83.192019
709,1,57281058,83.4121
710,1,57304135,83.46617
711,1,57314696,83.580488
712,1,57585670,83.817324
713,1,57588889,83.915336
714,1,57709358,84.08647
715,1,57777982,84.106992
716,1,57780985,84.249359
717,1,57987455,84.402012
718,1,57989156,84.45438
719,1,58162240,84.554659
720,1,58164124,84.62502
721,1,58191801,84.641492
722,1,58198767,84.741953
723,1,58380712,84.870939
724,1,58387807,84.988574
725,1,58488751,85.042753
726,1,58535140,85.17352
727,1,58537361,85.27823
728,1,58684088,85.320665
729,1,58800475,85.474095
730,1,58811763,85.57166
731,1,58864093,85.603315
732,1,58866940,85.706861
733,1,58911040,85.77627
734,1,58915024,85.868156
735,1,59312341,86.127742
736,1,59319508,86.258864
737,1,59345155,86.27627
738,1,59347093,86.400995
739,1,59413234,86.427037
740,1,59417116,86.518216
741,1,59487128,86.569626
742,1,59489710,86.71033
743,1,59570395,86.777661
744,1,59578785,86.865075
745,1,59744841,87.060131
746,1,59888758,87.107755
747,1,59891290,87.211304
748,1,59985281,87.265891
749,1,59986885,87.321085
750,1,60181335,87.416094
751,1,60196337,87.480083
752,1,60201195,87.582012
753,1,60226496,87.652085
754,1,60233747,87.825362
755,1,60433177,87.867659
756,1,60461564,87.963685
757,1,60868537,88.101115
758,1,60873447,88.186491
759,1,61135133,88.304788
760,1,61257170,88.409069
761,1,61260752,88.466755
762,1,61356520,88.505899
763,1,61360179,88.593653
764,1,61394328,88.674242
765,1,61397168,88.728513
766,1,61472174,88.882406
767,1,61664841,89.011421
768,1,61670344,89.185768
769,1,61743478,89.238824
770,1,61757477,89.478577
771,1,61849262,89.59167
772,1,61853026,89.657001
773,1,61913991,89.743113
774,1,61929717,89.902666
775,1,62025219,90.049702
776,1,62027313,90.121744
777,1,62109502,90.247905
778,1,62111054,90.325642
779,1,62139009,90.450608
780,1,62280985,90.599107
781,1,62289073,90.73055
782,1,62364706,90.829883
783,1,62382479,91.151181
784,1,62590206,91.278618
785,1,62773703,91.497011
786,1,62803814,91.596397
787,1,62806781,91.704759
788,1,62824941,91.762105
789,1,62833553,91.897748
790,1,62898142,91.968637
791,1,62901243,92.035214
792,1,63359560,92.111556
793,1,63403861,92.274303
794,1,63453677,92.336474
795,1,63461822,92.575446
796,1,63500602,92.629475
797,1,63502074,92.703958
798,1,63538594,92.754625
799,1,63555188,92.888391
800,1,63628648,92.966345
801,1,63630864,93.018821
802,1,63794591,93.122385
803,1,63801566,93.205987
804,1,64074080,93.261881
805,1,64094611,93.327075
806,1,64107028,93.561837
807,1,64163569,93.608106
808,1,64172809,93.726239
809,1,64256988,93.783246
810,1,64262703,93.858697
811,1,64330964,93.9278
812,1,64341732,94.004954
813,1,64344782,94.124946
814,1,64490393,94.207315
815,1,64534798,94.31451
816,1,64556590,94.445395
817,1,64614011,94.513891
818,1,64620609,94.58838
819,1,64929221,94.785018
820,1,64941609,94.899368
821,1,65001647,94.93674
822,1,65015252,95.073897
823,1,65036795,95.100221
824,1,65041861,95.182887
825,1,65148161,95.312789
826,1,65152364,95.466373
827,1,65187899,95.599198
828,1,65493869,95.711891
829,1,65603742,95.857713
830,1,65608101,95.92519
831,1,65696189,95.992848
832,1,65698884,96.143305
833,1,65888231,96.277516
834,1,65892888,96.403511
835,1,66169679,96.508262
836,1,66171667,96.585265
837,1,66773349,96.913308
838,1,66775011,97.021042
839,1,66937529,97.188715
840,1,66940780,97.267848
841,1,67255176,97.45238
842,1,67258784,97.521782
843,1,67359195,97.568629
844,1,67365034,97.724286
845,1,67504313,97.730212
846,1,67531723,97.830235
847,1,67594559,97.85107
848,1,67597119,97.923276
849,1,67761365,98.012619
850,1,67769006,98.137573
851,1,67935310,98.237188
852,1,67944069,98.320625
853,1,67989688,98.36977
854,1,68093218,98.591279
855,1,68115186,98.74973
856,1,68477194,98.979663
857,1,68513484,99.134578
858,1,68566576,99.173459
859,1,68568921,99.246669
860,1,68632483,99.345851
861,1,68634641,99.453245
862,1,68663847,99.475139
863,1,68665849,99.560452
864,1,68821539,99.715781
865,1,68829697,99.796052
866,1,69164441,99.947288
867,1,69168941,100.003069
868,1,69438130,100.040321
869,1,69449173,100.174127
870,1,69686319,100.279227
871,1,69688646,100.374876
872,1,69789580,100.404586
873,1,69794383,100.496738
874,1,69894849,100.522867
875,1,69937568,100.656131
876,1,70190096,100.78478
877,1,70192159,100.8461
878,1,70242153,100.870551
879,1,70246119,100.934175
880,1,70272063,100.947071
881,1,70279606,101.024574
882,1,70944520,101.235324
883,1,70947586,101.299608
884,1,70988191,101.353975
885,1,70992015,101.568841
886,1,71155890,101.726374
887,1,71371420,101.798939
888,1,71373738,101.85337
889,1,72281422,102.149453
890,1,72287866,102.234185
891,1,72380581,102.262438
892,1,72384596,102.340297
893,1,72508928,102.365778
894,1,72512391,102.474967
895,1,73336918,102.741219
896,1,74131749,102.813819
897,1,74326154,102.968251
898,1,74327707,103.066912
899,1,74462422,103.139867
900,1,74470568,103.212618
901,1,74710450,103.233702
902,1,74712952,103.29859
903,1,74923051,103.375653
904,1,75014195,103.472034
905,1,75015950,103.593355
906,1,75130289,103.654017
907,1,75131681,103.753843
908,1,75167867,103.826378
909,1,75276832,103.867091
910,1,75278859,103.949309
911,1,75670975,104.061441
912,1,76103670,104.304173
913,1,76476248,104.373616
914,1,76478305,104.452475
915,1,76608018,104.637534
916,1,76609721,104.719168
917,1,76726895,104.835384
918,1,76783783,105.007277
919,1,76974206,105.178597
920,1,76977202,105.390189
921,1,77189064,105.59721
922,1,77191953,105.673007
923,1,77263227,105.754825
924,1,77265640,105.864969
925,1,77546779,106.006573
926,1,77548834,106.156218
927,1,77694640,106.171402
928,1,77895330,106.3198
929,1,77912969,106.390359
930,1,77986638,106.42073
931,1,77992695,106.500764
932,1,78719031,106.606223
933,1,79060244,106.803945
934,1,79064876,106.910172
935,1,79111194,106.931719
936,1,79115905,107.017831
937,1,79259852,107.070688
938,1,79263805,107.139463
939,1,79493936,107.247105
940,1,79499023,107.359334
941,1,79658861,107.426484
942,1,79663267,107.578872
943,1,80100184,107.675898
944,1,80101805,107.735424
945,1,80781601,108.116005
946,1,80782806,108.199631
947,1,80876340,108.226905
948,1,80878750,108.287186
949,1,81059253,108.396965
950,1,81063488,108.544617
951,1,81352554,108.793564
952,1,81355884,108.918997
953,1,81488624,109.065067
954,1,81491983,109.150156
955,1,81766989,109.362201
956,1,81769919,109.522401
957,1,81862445,109.634584
958,1,81870764,109.72394
959,1,81989610,109.935306
960,1,81991684,110.059607
961,1,82115429,110.209149
962,1,82121936,110.373052
963,1,82218699,110.4238
964,1,82219539,110.472688
965,1,82562929,110.616616
966,1,82564441,110.721108
967,1,82800233,110.798067
968,1,82836557,110.868927
969,1,82838613,110.949673
970,1,82883310,110.976017
971,1,82885567,111.089964
972,1,82965451,111.147009
973,1,82968238,111.216494
974,1,83128812,111.318757
975,1,83131659,111.368412
976,1,83292220,111.469005
977,1,83296690,111.545533
978,1,83468139,111.619492
979,1,83469974,111.716325
980,1,83829022,111.841214
981,1,83834902,111.89769
982,1,84174550,112.256998
983,1,84729935,112.435083
984,1,84735327,112.604956
985,1,84745855,112.622787
986,1,84751066,112.824621
987,1,84843465,112.907467
988,1,84844723,112.978368
989,1,84926750,113.046162
990,1,84928736,113.098099
991,1,85207526,113.225698
992,1,85210779,113.302365
993,1,85345418,113.490664
994,1,85354563,113.581868
995,1,85391140,113.630369
996,1,85394148,113.751564
997,1,85556791,113.843973
998,1,85610585,113.970266
999,1,85940249,114.12293
1000,1,85942086,114.263967
1001,1,86010248,114.359477
1002,1,86014249,114.445008
1003,1,86453579,114.593663
1004,1,86455740,114.652379
1005,1,86567206,114.724791
1006,1,86573546,114.779461
1007,1,86714253,114.848734
1008,1,86761095,114.960197
1009,1,86948783,115.031597
1010,1,86950404,115.135876
1011,1,87005402,115.219357
1012,1,87584639,115.322986
1013,1,87587849,115.41071
1014,1,87652415,115.529902
1015,1,87655963,115.678531
1016,1,87696098,115.764248
1017,1,87698441,115.835714
1018,1,87791986,115.934863
1019,1,87806800,116.096585
1020,1,87821431,116.122866
1021,1,87828033,116.293917
1022,1,88033668,116.41154
1023,1,88036573,116.622853
1024,1,88127152,116.735307
1025,1,88129160,116.812977
1026,1,88235817,116.894258
1027,1,88239954,117.040028
1028,1,88273341,117.070341
1029,1,88292547,117.170333
1030,1,88402963,117.230805
1031,1,88410277,117.325432
1032,1,88454706,117.398814
1033,1,88463421,117.56993
1034,1,88603794,117.672337
1035,1,88607616,117.79389
1036,1,88652864,117.853587
1037,1,88656688,117.942516
1038,1,88862772,118.026558
1039,1,89043179,118.184038
1040,1,89444965,118.264727
1041,1,89456659,118.363695
1042,1,89701648,118.427946
1043,1,89748161,118.508183
1044,1,89750120,118.602667
1045,1,89842042,118.697512
1046,1,90065471,118.74295
1047,1,90067353,118.878058
1048,1,90295581,118.985679
1049,1,90321749,119.110111
1050,1,90325475,119.209168
1051,1,90522603,119.424988
1052,1,90538821,119.611494
1053,1,90600240,119.6811
1054,1,90602946,119.915885
1055,1,90657295,119.962174
1056,1,90659140,120.033563
1057,1,91117400,120.223032
1058,1,91119466,120.280067
1059,1,91234126,120.355616
1060,1,91235929,120.440533
1061,1,91518110,120.543539
1062,1,91530305,120.65444
1063,1,91667332,120.798129
1064,1,91670375,120.855804
1065,1,91869489,120.905476
1066,1,91881960,120.974249
1067,1,91887372,121.077488
1068,1,92022597,121.150992
1069,1,92024668,121.205365
1070,1,92208666,121.504218
