chr,pos,cm,increment_cm
1,13947905,28.964694,0.021438
1,13951736,29.070183,0.105489
1,14128152,29.187876,0.117693
1,14130780,29.280199,0.092323
1,14170060,29.402272,0.122073
1,14172505,29.491773,0.089501
1,14226409,29.611517,0.119744
1,14243517,29.722785,0.111268
1,14390137,29.896808,0.174023
1,14394291,29.991675,0.094867
1,14439900,30.019813,0.028138
1,14445584,30.104798,0.084985
1,14507057,30.176427,0.071629
1,14508693,30.243423,0.066996
1,14625432,30.365384,0.121961
1,14629604,30.514344,0.14896
1,14720009,30.666337,0.151993
1,14721426,30.753735,0.087398
1,14792535,30.847426,0.093691
1,14795469,30.92039,0.072964
1,14876379,31.001697,0.081307
1,14894578,31.249846,0.248149
1,15089767,31.429886,0.18004
1,15100939,31.629116,0.19923
1,15150914,31.71608,0.086964
1,15156736,31.871392,0.155312
1,15181454,31.898608,0.027216
1,15184139,32.03452,0.135912
1,15211824,32.120191,0.085671
1,15216378,32.196098,0.075907
1,15309861,32.38515,0.189052
1,15339960,32.642206,0.257056
1,15371724,32.701226,0.05902
1,15374483,32.835073,0.133847
1,15424731,32.928268,0.093195
1,15427117,33.043597,0.115329
1,15567800,33.23623,0.192633
1,15574322,33.46241,0.22618
1,15617054,33.49404,0.03163
1,15621708,33.623113,0.129073
1,15685797,33.70541,0.082297
1,15687814,33.788421,0.083011
1,15743884,33.851143,0.062722
1,15750217,33.947581,0.096438
1,15798317,34.006341,0.05876
1,16050521,34.044672,0.038331
1,16127480,34.239769,0.195097
1,16363940,34.279193,0.039424
1,16396318,34.342348,0.063155
1,16448622,34.58085,0.238502
1,16502256,34.686879,0.106029
1,16804341,34.800941,0.114062
1,16821365,34.950866,0.149925
1,16887185,35.033199,0.082333
1,17003534,35.45293,0.419731
1,17429185,35.681962,0.229032
1,17432399,35.743104,0.061142
1,17495311,35.790094,0.04699
1,17500227,35.898441,0.108347
1,17539073,35.980333,0.081892
1,17541949,36.098209,0.117876
1,17554853,36.228196,0.129987
1,17557133,36.365908,0.137712
1,17675889,36.498616,0.132708
1,17679598,36.599373,0.100757
1,17712649,36.677713,0.07834
1,17874843,36.759984,0.082271
1,17876389,36.818629,0.058645
1,17908005,36.867471,0.048842
1,17918600,36.983634,0.116163
1,17920155,37.071717,0.088083
1,17931702,37.204219,0.132502
1,18042035,37.275782,0.071563
1,18052042,37.368391,0.092609
1,18105728,37.417852,0.049461
1,18112065,37.490799,0.072947
1,18180387,37.622621,0.131822
1,18189098,37.756486,0.133865
1,18263784,37.823647,0.067161
1,18265974,37.879459,0.055812
1,18322014,37.957958,0.078499
1,18323910,38.048083,0.090125
1,18427031,38.186259,0.138176
1,18484945,38.335452,0.149193
1,18490574,38.498724,0.163272
1,18511260,38.591782,0.093058
1,18514902,38.733781,0.141999
1,18566065,38.813957,0.080176
1,18578075,39.067173,0.253216
1,18606653,39.102914,0.035741
1,18611016,39.171675,0.068761
1,18659641,39.273619,0.101944
1,18664626,39.426792,0.153173
1,18703538,39.454805,0.028013
1,18704862,39.502806,0.048001
1,18832820,39.727952,0.225146
1,18869666,39.864225,0.136273
1,18873615,39.960316,0.096091
1,18904033,39.976315,0.015999
1,18907068,40.089362,0.113047
1,19030698,40.297764,0.208402
1,19057778,40.611944,0.31418
1,19067368,40.873268,0.261324
1,19100502,40.888239,0.014971
1,19176667,41.092676,0.204437
1,19197849,41.555099,0.462423
1,19210816,41.649591,0.094492
1,19238942,41.699813,0.050222
1,19244678,41.839342,0.139529
1,19636041,41.989706,0.150364
1,19650220,42.073537,0.083831
1,19806259,42.160144,0.086607
1,19819249,42.337407,0.177263
1,19973920,42.396699,0.059292
1,19978665,42.487814,0.091115
1,20025383,42.52753,0.039716
1,20030565,42.603796,0.076266
1,20058237,42.665661,0.061865
1,20061862,42.813243,0.147582
1,20139463,42.899255,0.086012
1,20141528,43.044842,0.145587
1,20158604,43.140888,0.096046
1,20163290,43.231873,0.090985
1,20281969,43.341058,0.109185
1,20303151,43.407804,0.066746
1,20309565,43.490495,0.082691
1,20435774,43.571535,0.08104
1,20437540,43.648888,0.077353
1,20464891,43.735819,0.086931
1,20477682,43.90072,0.164901
1,20555073,44.032047,0.131327
1,20556762,44.11871,0.086663
1,20605374,44.21547,0.09676
1,20609308,44.34154,0.12607
1,20762133,44.43595,0.09441
1,20766279,44.583264,0.147314
1,20883203,44.671278,0.088014
1,20884941,44.725359,0.054081
1,21009611,44.902614,0.177255
1,21011182,45.018663,0.116049
1,21041555,45.122494,0.103831
1,21567495,45.184401,0.061907
1,21734462,45.378631,0.19423
1,21738020,45.468903,0.090272
1,21821757,45.540309,0.071406
1,21848962,45.633109,0.0928
1,21974834,45.766337,0.133228
1,22008798,45.872411,0.106074
1,22141983,45.928618,0.056207
1,22147077,46.038258,0.10964
1,22345647,46.176454,0.138196
1,22350834,46.251229,0.074775
1,22477493,46.29468,0.043451
1,22649994,46.570049,0.275369
1,22652501,46.638642,0.068593
1,22682133,46.734199,0.095557
1,22735906,46.763071,0.028872
1,22739168,46.9046,0.141529
1,22863296,46.946065,0.041465
1,22869904,47.040453,0.094388
1,22891409,47.138752,0.098299
1,23026293,47.269616,0.130864
1,23087244,47.43305,0.163434
1,23183130,47.595443,0.162393
1,23189123,47.754386,0.158943
1,23212740,47.843849,0.089463
1,23714672,47.988704,0.144855
1,23907702,48.179403,0.190699
1,23926256,48.410596,0.231193
1,23977871,48.504171,0.093575
1,24336524,48.660871,0.1567
1,24421804,48.778738,0.117867
1,24425176,48.837845,0.059107
1,24518643,48.964161,0.126316
1,24530056,49.113182,0.149021
1,24641335,49.250346,0.137164
1,24663965,49.355691,0.105345
1,24876383,49.514797,0.159106
1,24928693,49.638421,0.123624
1,25012493,49.656505,0.018084
1,25017649,49.715412,0.058907
1,25182422,49.735064,0.019652
1,25305783,49.944554,0.20949
1,25309259,50.129941,0.185387
1,25422503,50.312141,0.1822
1,25425629,50.390914,0.078773
1,25472465,50.436965,0.046051
1,25477602,50.51131,0.074345
1,25499030,50.521345,0.010035
1,25529362,50.742776,0.221431
1,25775733,50.777797,0.035021
1,25910624,51.102862,0.325065
1,26002585,51.129047,0.026185
1,26010611,51.198842,0.069795
1,26110143,51.244022,0.04518
1,26118299,51.347713,0.103691
1,26479900,51.476145,0.128432
1,26482556,51.521125,0.04498
1,26699157,51.629825,0.1087
1,26715232,51.681671,0.051846
1,26718448,51.787324,0.105653
1,26898956,51.878975,0.091651
1,26910959,51.946287,0.067312
1,27366975,52.095368,0.149081
1,27395859,52.187504,0.092136
1,27403974,52.307579,0.120075
1,27981827,52.563157,0.255578
1,27989620,52.633079,0.069922
1,28169402,52.661433,0.028354
1,28187374,52.710866,0.049433
1,28420384,52.794961,0.084095
1,28459918,52.895304,0.100343
1,29180014,53.061099,0.165795
1,29190390,53.174294,0.113195
1,29631050,53.265324,0.09103
1,29632400,53.325496,0.060172
1,29707412,53.49346,0.167964
1,29740661,53.711014,0.217554
1,29794833,53.86431,0.153296
1,30062973,54.258039,0.393729
1,30160186,54.304982,0.046943
1,30162821,54.437644,0.132662
1,30401662,54.777064,0.33942
1,30405167,54.855172,0.078108
1,30578188,55.068972,0.2138
1,30614367,55.262071,0.193099
1,30743114,55.433759,0.171688
1,30747270,55.528135,0.094376
1,30792409,55.575417,0.047282
1,30794300,55.690945,0.115528
1,30890860,55.755259,0.064314
1,30892426,55.869528,0.114269
1,30987720,55.964783,0.095255
1,30997926,56.10911,0.144327
1,30999350,56.18811,0.079
1,31164624,56.376412,0.188302
1,31166788,56.444521,0.068109
1,31216969,56.499304,0.054783
1,31223657,56.690784,0.19148
1,31255634,56.710636,0.019852
1,31260468,56.810003,0.099367
1,31316029,56.886706,0.076703
1,31318133,56.973334,0.086628
1,31363409,57.076202,0.102868
1,31367929,57.15796,0.081758
1,31639120,57.270826,0.112866
1,31642815,57.319508,0.048682
1,32009781,57.472496,0.152988
1,32054094,57.631378,0.158882
1,32143138,57.665663,0.034285
1,32160918,57.759031,0.093368
1,32440710,57.954776,0.195745
1,32925647,58.057345,0.102569
1,32942662,58.120267,0.062922
1,33062554,58.136086,0.015819
1,33066299,58.233235,0.097149
1,33215380,58.296503,0.063268
1,33221282,58.350887,0.054384
1,33920586,58.538014,0.187127
1,33921878,58.608798,0.070784
1,34021286,58.662503,0.053705
1,34023779,58.762729,0.100226
1,34057453,58.842439,0.07971
1,34061898,58.976962,0.134523
1,34183007,59.111998,0.135036
1,34186193,59.211707,0.099709
1,34220381,59.244157,0.03245
1,34221810,59.312359,0.068202
1,34246222,59.331109,0.01875
1,34247896,59.430155,0.099046
1,34269930,59.544912,0.114757
1,34369245,59.63497,0.090058
1,34375199,59.777465,0.142495
1,34427062,59.931651,0.154186
1,34428935,60.044012,0.112361
1,34535791,60.129272,0.08526
1,34541223,60.271283,0.142011
1,34635092,60.379806,0.108523
1,34655468,60.617239,0.237433
1,34798634,60.772581,0.155342
1,34800556,60.904391,0.13181
1,34939339,61.037483,0.133092
1,34945039,61.128907,0.091424
1,35192221,61.431337,0.30243
1,35270657,61.670732,0.239395
1,35312631,61.721395,0.050663
1,35322503,61.853038,0.131643
1,35363422,61.889754,0.036716
1,35379119,62.011649,0.121895
1,35381295,62.096636,0.084987
1,35633937,62.181772,0.085136
1,35719581,62.296289,0.114517
1,36661213,62.443301,0.147012
1,36677585,62.547691,0.10439
1,36855957,62.581336,0.033645
1,36858917,62.715984,0.134648
1,36927846,62.732283,0.016299
1,37019837,62.896967,0.164684
1,37022310,63.022784,0.125817
1,37040374,63.062743,0.039959
1,37049344,63.15945,0.096707
1,37077776,63.195427,0.035977
1,37084040,63.345682,0.150255
1,37261085,63.453747,0.108065
1,37275369,63.529781,0.076034
1,37317442,63.555017,0.025236
1,37327304,63.86605,0.311033
1,37399974,63.970236,0.104186
1,37416269,64.061965,0.091729
1,37428012,64.308134,0.246169
1,37538004,64.413385,0.105251
1,37548473,64.493199,0.079814
1,37551870,64.585889,0.09269
1,37661910,64.736251,0.150362
1,37782874,64.802795,0.066544
1,37952976,65.049469,0.246674
1,38092723,65.065996,0.016527
1,38143790,65.170957,0.104961
1,38147166,65.232225,0.061268
1,38197401,65.247155,0.01493
1,38199542,65.349943,0.102788
1,38456106,65.390879,0.040936
1,38466697,65.452565,0.061686
1,38469500,65.535771,0.083206
1,38557098,65.601651,0.06588
1,38560968,65.774682,0.173031
1,38602195,65.862109,0.087427
1,38606443,65.987411,0.125302
1,38679381,66.032793,0.045382
1,38730541,66.150017,0.117224
1,38732247,66.268641,0.118624
1,38733788,66.305815,0.037174
1,38871646,66.413003,0.107188
1,38876635,66.475397,0.062394
1,38911588,66.498657,0.02326
1,38915251,66.640454,0.141797
1,38943545,66.728216,0.087762
1,38952168,66.872959,0.144743
1,39039373,66.962775,0.089816
1,39053684,67.18768,0.224905
1,39145901,67.300088,0.112408
1,39147240,67.359537,0.059449
1,39205993,67.385516,0.025979
1,39214152,67.452512,0.066996
1,39266694,67.493283,0.040771
1,39291144,67.65775,0.164467
1,39385086,67.684416,0.026666
1,39388838,67.763362,0.078946
1,39548843,67.904659,0.141297
1,39551621,68.049655,0.144996
1,40089945,68.122995,0.07334
1,40161013,68.260132,0.137137
1,40168865,68.37493,0.114798
1,40197248,68.391135,0.016205
1,40206510,68.522033,0.130898
1,40255573,68.533667,0.011634
1,40291192,68.628485,0.094818
1,40439598,68.694593,0.066108
1,40451029,68.915123,0.22053
1,40763095,69.009885,0.094762
1,40771973,69.167045,0.15716
1,40808664,69.177657,0.010612
1,40827598,69.266231,0.088574
1,40922377,69.318592,0.052361
1,40938751,69.433771,0.115179
1,41248488,69.538673,0.104902
1,41318440,69.787954,0.249281
1,41323882,69.931565,0.143611
1,41416511,70.00855,0.076985
1,41421510,70.117184,0.108634
1,41821570,70.235989,0.118805
1,41854557,70.342936,0.106947
1,41973908,70.498978,0.156042
1,41988634,70.628978,0.13
1,42270666,70.776732,0.147754
1,42272924,70.842301,0.065569
1,42801370,71.010676,0.168375
1,42884191,71.129784,0.119108
1,43300921,71.194625,0.064841
1,43365094,71.26441,0.069785
1,43367726,71.383991,0.119581
1,43458388,71.473758,0.089767
1,43462020,71.548467,0.074709
1,43529875,71.747165,0.198698
1,43757955,71.913129,0.165964
1,43760236,71.996962,0.083833
1,44486239,72.212019,0.215057
1,44493795,72.286349,0.07433
1,44589058,72.411716,0.125367
1,44855878,72.442797,0.031081
1,44898998,72.682822,0.240025
1,44963463,72.745917,0.063095
1,44971778,72.842194,0.096277
1,45081766,73.054262,0.212068
1,45083937,73.09205,0.037788
1,45161845,73.134403,0.042353
1,45175925,73.199566,0.065163
1,46609106,73.372742,0.173176
1,46897679,73.46743,0.094688
1,46901546,73.563834,0.096404
1,47096647,73.744947,0.181113
1,47210510,73.769628,0.024681
1,47212009,73.839172,0.069544
1,47250219,73.933468,0.094296
1,47258244,74.013102,0.079634
1,47641041,74.10856,0.095458
1,47655816,74.309116,0.200556
1,48001549,74.479639,0.170523
1,48004776,74.578766,0.099127
1,48095100,74.758954,0.180188
1,48102121,74.922134,0.16318
1,48212615,75.046407,0.124273
1,48215337,75.13421,0.087803
1,48249651,75.22338,0.08917
1,48481656,75.2992,0.07582
1,48484051,75.394176,0.094976
1,48520617,75.423914,0.029738
1,48556937,75.571713,0.147799
1,48977584,75.660558,0.088845
1,48978744,75.71905,0.058492
1,49067379,75.831632,0.112582
1,49071418,75.921986,0.090354
1,49085703,75.993748,0.071762
1,49151886,76.021238,0.02749
1,49219560,76.299721,0.278483
1,50591851,76.391455,0.091734
1,50828470,76.590992,0.199537
1,52020026,76.751962,0.16097
1,52064720,76.816238,0.064276
1,53114410,76.977837,0.161599
1,53117544,77.08239,0.104553
1,53125600,77.143118,0.060728
1,53530023,77.237401,0.094283
1,53632424,77.393937,0.156536
1,53636177,77.524202,0.130265
1,53776386,77.669213,0.145011
1,53784098,77.832024,0.162811
1,53835594,77.860836,0.028812
1,53837269,77.914322,0.053486
1,53971807,78.015804,0.101482
1,53979087,78.132203,0.116399
1,54016511,78.178381,0.046178
1,54018483,78.260931,0.08255
1,54036317,78.32865,0.067719
1,54222571,78.445604,0.116954
1,54227790,78.543321,0.097717
1,54368424,78.601598,0.058277
1,54372124,78.682319,0.080721
1,54583318,78.76189,0.079571
1,54663157,78.885427,0.123537
1,54666981,78.956038,0.070611
1,54743111,79.035881,0.079843
1,54745528,79.164634,0.128753
1,54769756,79.278276,0.113642
1,54772259,79.365091,0.086815
1,54955147,79.579119,0.214028
1,54977034,79.706669,0.12755
1,55012825,79.782877,0.076208
1,55015485,79.8576,0.074723
1,55144100,80.116474,0.258874
1,55149254,80.226534,0.11006
1,55281847,80.50396,0.277426
1,55377852,80.54523,0.04127
1,55387637,80.632542,0.087312
1,55441040,80.707318,0.074776
1,55443605,80.79126,0.083942
1,55479967,80.884634,0.093374
1,55481832,80.988511,0.103877
1,55516004,81.134433,0.145922
1,55520864,81.219688,0.085255
1,55723635,81.298466,0.078778
1,55725288,81.360757,0.062291
1,56095325,81.689225,0.328468
1,56412081,81.878345,0.18912
1,56416738,81.968801,0.090456
1,56769856,82.080939,0.112138
1,56800685,82.143576,0.062637
1,56802112,82.268826,0.12525
1,56895392,82.37539,0.106564
1,56900270,82.501947,0.126557
1,57020516,82.631711,0.129764
1,57022282,82.744918,0.113207
1,57177789,82.80985,0.064932
1,57180867,82.959532,0.149682
1,57194793,82.9697,0.010168
1,57202008,83.059502,0.089802
1,57273172,83.192019,0.132517
1,57281058,83.4121,0.220081
1,57304135,83.46617,0.05407
1,57314696,83.580488,0.114318
1,57585670,83.817324,0.236836
1,57588889,83.915336,0.098012
1,57709358,84.08647,0.171134
1,57777982,84.106992,0.020522
1,57780985,84.249359,0.142367
1,57987455,84.402012,0.152653
1,57989156,84.45438,0.052368
1,58162240,84.554659,0.100279
1,58164124,84.62502,0.070361
1,58191801,84.641492,0.016472
1,58198767,84.741953,0.100461
1,58380712,84.870939,0.128986
1,58387807,84.988574,0.117635
1,58488751,85.042753,0.054179
1,58535140,85.17352,0.130767
1,58537361,85.27823,0.10471
1,58684088,85.320665,0.042435
1,58800475,85.474095,0.15343
1,58811763,85.57166,0.097565
1,58864093,85.603315,0.031655
1,58866940,85.706861,0.103546
1,58911040,85.77627,0.069409
1,58915024,85.868156,0.091886
1,59312341,86.127742,0.259586
1,59319508,86.258864,0.131122
1,59345155,86.27627,0.017406
1,59347093,86.400995,0.124725
1,59413234,86.427037,0.026042
1,59417116,86.518216,0.091179
1,59487128,86.569626,0.05141
1,59489710,86.71033,0.140704
1,59570395,86.777661,0.067331
1,59578785,86.865075,0.087414
1,59744841,87.060131,0.195056
1,59888758,87.107755,0.047624
1,59891290,87.211304,0.103549
1,59985281,87.265891,0.054587
1,59986885,87.321085,0.055194
1,60181335,87.416094,0.095009
1,60196337,87.480083,0.063989
1,60201195,87.582012,0.101929
1,60226496,87.652085,0.070073
1,60233747,87.825362,0.173277
1,60433177,87.867659,0.042297
1,60461564,87.963685,0.096026
1,60868537,88.101115,0.13743
1,60873447,88.186491,0.085376
1,61135133,88.304788,0.118297
1,61257170,88.409069,0.104281
1,61260752,88.466755,0.057686
1,61356520,88.505899,0.039144
1,61360179,88.593653,0.087754
1,61394328,88.674242,0.080589
1,61397168,88.728513,0.054271
1,61472174,88.882406,0.153893
1,61664841,89.011421,0.129015
1,61670344,89.185768,0.174347
1,61743478,89.238824,0.053056
1,61757477,89.478577,0.239753
1,61849262,89.59167,0.113093
1,61853026,89.657001,0.065331
1,61913991,89.743113,0.086112
1,61929717,89.902666,0.159553
1,62025219,90.049702,0.147036
1,62027313,90.121744,0.072042
1,62109502,90.247905,0.126161
1,62111054,90.325642,0.077737
1,62139009,90.450608,0.124966
1,62280985,90.599107,0.148499
1,62289073,90.73055,0.131443
1,62364706,90.829883,0.099333
1,62382479,91.151181,0.321298
1,62590206,91.278618,0.127437
1,62773703,91.497011,0.218393
1,62803814,91.596397,0.099386
1,62806781,91.704759,0.108362
1,62824941,91.762105,0.057346
1,62833553,91.897748,0.135643
1,62898142,91.968637,0.070889
1,62901243,92.035214,0.066577
1,63359560,92.111556,0.076342
1,63403861,92.274303,0.162747
1,63453677,92.336474,0.062171
1,63461822,92.575446,0.238972
1,63500602,92.629475,0.054029
1,63502074,92.703958,0.074483
1,63538594,92.754625,0.050667
1,63555188,92.888391,0.133766
1,63628648,92.966345,0.077954
1,63630864,93.018821,0.052476
1,63794591,93.122385,0.103564
1,63801566,93.205987,0.083602
1,64074080,93.261881,0.055894
1,64094611,93.327075,0.065194
1,64107028,93.561837,0.234762
1,64163569,93.608106,0.046269
1,64172809,93.726239,0.118133
1,64256988,93.783246,0.057007
1,64262703,93.858697,0.075451
1,64330964,93.9278,0.069103
1,64341732,94.004954,0.077154
1,64344782,94.124946,0.119992
1,64490393,94.207315,0.082369
1,64534798,94.31451,0.107195
1,64556590,94.445395,0.130885
1,64614011,94.513891,0.068496
1,64620609,94.58838,0.074489
1,64929221,94.785018,0.196638
1,64941609,94.899368,0.11435
1,65001647,94.93674,0.037372
1,65015252,95.073897,0.137157
1,65036795,95.100221,0.026324
1,65041861,95.182887,0.082666
1,65148161,95.312789,0.129902
1,65152364,95.466373,0.153584
1,65187899,95.599198,0.132825
1,65493869,95.711891,0.112693
1,65603742,95.857713,0.145822
1,65608101,95.92519,0.067477
1,65696189,95.992848,0.067658
1,65698884,96.143305,0.150457
1,65888231,96.277516,0.134211
1,65892888,96.403511,0.125995
1,66169679,96.508262,0.104751
1,66171667,96.585265,0.077003
1,66773349,96.913308,0.328043
1,66775011,97.021042,0.107734
1,66937529,97.188715,0.167673
1,66940780,97.267848,0.079133
1,67255176,97.45238,0.184532
1,67258784,97.521782,0.069402
1,67359195,97.568629,0.046847
1,67365034,97.724286,0.155657
1,67504313,97.730212,0.005926
1,67531723,97.830235,0.100023
1,67594559,97.85107,0.020835
1,67597119,97.923276,0.072206
1,67761365,98.012619,0.089343
1,67769006,98.137573,0.124954
1,67935310,98.237188,0.099615
1,67944069,98.320625,0.083437
1,67989688,98.36977,0.049145
1,68093218,98.591279,0.221509
1,68115186,98.74973,0.158451
1,68477194,98.979663,0.229933
1,68513484,99.134578,0.154915
1,68566576,99.173459,0.038881
1,68568921,99.246669,0.07321
1,68632483,99.345851,0.099182
1,68634641,99.453245,0.107394
1,68663847,99.475139,0.021894
1,68665849,99.560452,0.085313
1,68821539,99.715781,0.155329
1,68829697,99.796052,0.080271
1,69164441,99.947288,0.151236
1,69168941,100.003069,0.055781
1,69438130,100.040321,0.037252
1,69449173,100.174127,0.133806
1,69686319,100.279227,0.1051
1,69688646,100.374876,0.095649
1,69789580,100.404586,0.02971
1,69794383,100.496738,0.092152
1,69894849,100.522867,0.026129
